question_id,domain,jurisdiction,question_text
Q001,Criminal Law,United States,"What is the leading US Supreme Court authority on the admissibility of evidence obtained during a warrantless search of a motor vehicle?"
Q002,Criminal Law,United States,"Under Miranda v. Arizona, what are the precise circumstances in which law enforcement must inform a suspect of their right to counsel before questioning?"
Q003,Criminal Law,United States,"What is the constitutional standard for determining whether a criminal sentence constitutes cruel and unusual punishment under the Eighth Amendment?"
Q004,Criminal Law,United States,"What did the Supreme Court hold in Terry v. Ohio regarding the lawfulness of a stop-and-frisk by a police officer?"
Q005,Criminal Law,United States,"Under US federal law, what are the elements a prosecutor must establish to secure a conviction for wire fraud?"
Q006,Criminal Law,United States,"What is the doctrine of double jeopardy and how did the Supreme Court define its scope in Blockburger v. United States?"
Q007,Criminal Law,United States,"What standard applies to ineffective assistance of counsel claims under the Sixth Amendment following Strickland v. Washington?"
Q008,Criminal Law,United States,"How have federal courts interpreted the scope of the Fourth Amendment exclusionary rule following United States v. Leon?"
Q009,Criminal Law,United States,"What did the Supreme Court decide in Brady v. Maryland regarding prosecutorial disclosure of exculpatory evidence?"
Q010,Criminal Law,United States,"What is the legal standard for determining competency to stand trial in federal criminal proceedings?"
Q011,Criminal Law,United States,"How has the US Supreme Court addressed the use of jailhouse informant testimony in criminal proceedings?"
Q012,Criminal Law,United States,"What is the Confrontation Clause and how did Crawford v. Washington change its application?"
Q013,Criminal Law,United States,"Under what circumstances may federal courts grant habeas corpus relief in criminal cases following AEDPA?"
Q014,Criminal Law,United States,"What constitutional limitations govern the admissibility of eyewitness identification evidence in US criminal trials?"
Q015,Criminal Law,United States,"How did the Supreme Court in Roper v. Simmons address the constitutionality of the death penalty for juvenile offenders?"
Q016,Criminal Law,United States,"What standard governs the search of digital devices by law enforcement following Riley v. California?"
Q017,Criminal Law,United States,"How does US federal sentencing law treat mandatory minimum sentences following Apprendi v. New Jersey?"
Q018,Criminal Law,United States,"What is the legal test for entrapment in US federal criminal law and which case established it?"
Q019,Criminal Law,United States,"How have courts interpreted the scope of the right to a speedy trial under the Sixth Amendment?"
Q020,Criminal Law,United States,"What are the constitutional requirements for a valid guilty plea in US federal criminal proceedings?"
Q021,Criminal Law,United States,"How did Batson v. Kentucky limit the use of peremptory challenges in criminal jury selection?"
Q022,Criminal Law,United States,"What is the felony murder rule and how have US courts limited its application?"
Q023,Criminal Law,United States,"Under what circumstances does the Fifth Amendment privilege against self-incrimination apply in civil proceedings?"
Q024,Criminal Law,United States,"What is the test for determining whether a criminal statute is unconstitutionally vague?"
Q025,Criminal Law,United States,"How did United States v. Booker affect the application of the Federal Sentencing Guidelines?"
Q026,Criminal Law,United States,"What is the standard for granting a new trial based on newly discovered evidence in federal criminal cases?"
Q027,Criminal Law,United States,"How have courts applied the doctrine of transferred intent in US criminal law?"
Q028,Criminal Law,United States,"What constitutes an unreasonable seizure under the Fourth Amendment following Brendlin v. California?"
Q029,Criminal Law,United States,"What are the elements of a Bivens action in the context of federal law enforcement misconduct?"
